name,url,createdAt,updatedAt
"Thomas Psarros, MD",https://www.doximity.com/cv/thomas-psarros-md-slash-1,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Timothy O'Connor, MD",https://www.doximity.com/cv/timoconnormd,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Timothy Miller, MD",https://www.doximity.com/cv/timothy-miller-md-slash-20,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Timothy Spencer, MD",https://www.doximity.com/cv/timothy-spencer-do-1,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Todd Trier, MD",https://www.doximity.com/cv/todd-trier-md-2,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Tord Alden, MD",https://www.doximity.com/cv/tord-alden,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Vance Roy, MD",https://www.doximity.com/cv/vance-roy-md-slash-1,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Vikas Rao, MD",https://www.doximity.com/cv/vikas-rao-md,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Vikram Nayar, MD",https://www.doximity.com/cv/vikram-nayar-md-3,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"W. Bruce Cherny, MD",https://www.doximity.com/cv/w-bruce-cherny-md,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Whitney Sheen James, MD",https://www.doximity.com/cv/whitney-sheen-james-md,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"William Anderson, MD",https://www.doximity.com/cv/william-anderson-md-slash-13,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"William Gump, MD",https://www.doximity.com/cv/william-gump-md-slash-1,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"William Lewis, MD",https://www.doximity.com/cv/william-ralph-lewis-md,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Xun Li, MD",https://www.doximity.com/cv/xunlimd,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
